nombre_pdf;codigo
Constitucion Española articulos 1-55.pdf;CE
Constitucion Española articulos 117-127.pdf;CE
Constitucion Española articulos 137-158.pdf;CE
Constitucion Española articulos 159-165.pdf;CE
Constitucion Española articulos 56-92.pdf;CE
Constitucion Española articulos 97-116.pdf;CE
Decreto 25_2017.pdf;D25_2017
Decreto 30_2025.pdf;D30_2025
Decreto 42_2019.pdf;D42_2019
Decreto 54_2025.pdf;D54_2025
Decreto 77_2019.pdf;D77_2019
Decreto Legislativo 5_2015 articulos 1-7.pdf;DL5_2015
I_Correo_electronico_outlook_microsoft365.pdf;
I_Explorador_archivos_windows11.pdf;
I_Herramientas_IA.pdf;
I_Hojas_calculo_excel_microsoft365.pdf;
I_Informatica_basica_Hardware.pdf;
I_Introduccion_sistema_operativo_windows11.pdf;
I_Navegadores_web.pdf;
I_Plataforma_colaborativa_microsoft365.pdf;
I_Procesador_textos_microsoft365.pdf;
Ley 19_2013 articulos 1-24.pdf;L19_2013
Ley 1_2015 articulos 1-5.pdf;L1_2015
Ley 1_2015 articulos 124-143.pdf;L1_2015
Ley 1_2015 articulos 159-178.pdf;L1_2015
Ley 1_2015 articulos 24-29.pdf;L1_2015
Ley 1_2015 articulos 30-51.pdf;L1_2015
Ley 1_2015 articulos 36-38.pdf;L1_2015
Ley 1_2022 articulos 1-76.pdf;L1_2022
Ley 38_2003 articulos 1-35.pdf;L38_2003
Ley 39_2015 articulos 1-33.pdf;L39_2015
Ley 39_2015 articulos 34-52.pdf;L39_2015
Ley 39_2015 articulos 53-126.pdf;L39_2015
Ley 40_2015 articulos 5-24.pdf;L40_2015
Ley 4_2021 articulos 1-15.pdf;L4_2021
Ley 4_2021 articulos 107-130.pdf;L4_2021
Ley 4_2021 articulos 131-181.pdf;L4_2021
Ley 4_2021 articulos 16-59.pdf;L4_2021
Ley 4_2021 articulos 60-106.pdf;L4_2021
Ley 4_2023 articulos 4 y 11-13.pdf;L4_2023
Ley 5_1983 articulos 1-15.pdf;L4_2023
Ley 5_1983 articulos 27-30.pdf;L5_1983
Ley 5_1983 articulos 60-79.pdf;L5_1983
Ley 6_2025 articulos 1-3.pdf;L6_2025
Ley 6_2025 articulos 24-39.pdf;L6_2025
Ley 6_2025 articulos 5-9.pdf;L6_2025
Ley 6_2025 articulos 59.pdf;L6_2025
Ley 9_2003 articulos 1-4.pdf;L9_2003
Ley 9_2003 articulos 42-49.pdf;L9_2003
Ley 9_2017 articulos 1-18.pdf;L9_2017
Ley 9_2017 articulos 24-27.pdf;L9_2017
Ley 9_2017 articulos 36-43.pdf;L9_2017
Ley 9_2017 articulos 61-130.pdf;L9_2017
Ley Orgánica 1_2004 articulos 1-28.pdf;LO1_2004
Ley Orgánica 2_1982 articulos 9-18.pdf;LO2_1982
Ley Orgánica 3_2007 articulos 1-35.pdf;LO3_2007
Ley Orgánica 3_2018.pdf;LO3_2007
Ley Orgánica 5_1982 articulos 1-58.pdf;LO5_1982
Reglamento de Les Corts articulos 132-134.pdf;RLC
Tratado Funcionamiento Union Europea articulos 288-299.pdf;TFUE
Tratado Union Europea articulos 1-8.pdf;TUE
